cell,SCENARIO,outflow
294,15-mins-accident-1-capacity-remaining-start-10am,0,0,1,1,2,2,3,3,4,4,4,4,3,3,4,4,5,5,6,6,7,7,7,6,6,6,6,6,7,7,7,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,6,6,6,5,5,5,5,5,5,5,6,6,6,5,5,2,1,1,8,9,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6
689,15-mins-accident-1-capacity-remaining-start-10am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
798,15-mins-accident-1-capacity-remaining-start-10am,8,15,20,25,30,34,40,47,50,50,46,41,40,44,49,54,57,61,65,70,73,72,69,64,61,62,65,68,73,75,78,82,84,84,81,78,76,75,74,75,73,70,70,70,70,68,64,60,56,54,53,53,54,53,53,55,57,56,53,50,20,1,1,76,126,47,47,48,50,50,49,47,45,45,47,47,47,48,49,49,50,52,50,48,47,48,49,50,50,49,51,53,53,53,53,51,49,50,52,53,53,52,52,54,55,56,53,51,52,54,57,56,56,55,55,56,58,56,56,54
839,15-mins-accident-1-capacity-remaining-start-10am,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
841,15-mins-accident-1-capacity-remaining-start-10am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
893,15-mins-accident-1-capacity-remaining-start-10am,0,4,5,7,8,10,11,14,15,16,16,14,13,13,15,16,18,19,21,22,23,24,23,22,20,20,20,22,23,24,25,26,27,27,26,26,24,24,24,24,24,23,22,22,22,22,21,20,19,17,17,17,17,17,17,17,18,18,17,17,14,2,1,6,36,26,16,15,16,16,16,15,15,14,14,15,15,15,15,15,16,16,16,16,15,15,15,16,16,16,16,16,17,17,17,16,16,15,16,17,17,17,17,17,17,18,17,16,17,16,17,18,18,18,18,18,18,18,18,18
929,15-mins-accident-1-capacity-remaining-start-10am,3,6,7,8,10,12,13,15,16,16,16,15,14,15,16,17,20,21,22,23,24,25,24,22,20,19,21,23,24,23,23,25,26,25,24,23,22,22,22,22,21,21,20,19,19,19,18,18,16,15,15,16,16,16,15,15,16,15,15,14,5,0,0,24,35,13,13,14,14,14,13,13,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,13,13,13,13,14,15,15,14,15,15,14,14,15,14,14,14,15,16,15,15,15,16,16,15,14
1149,15-mins-accident-1-capacity-remaining-start-10am,0,4,5,7,8,10,11,14,15,16,16,14,13,13,15,16,18,19,21,22,23,24,23,22,20,20,20,22,23,24,25,26,27,27,26,26,24,24,24,24,24,23,22,22,22,22,21,20,19,17,17,17,17,17,17,17,18,18,17,17,14,2,1,6,36,27,16,15,16,16,16,15,15,14,14,15,15,15,15,15,16,16,16,16,15,15,15,16,16,16,16,16,17,17,17,16,16,15,16,17,17,17,17,17,17,18,17,16,17,16,17,18,18,18,18,18,18,18,18,18
1150,15-mins-accident-1-capacity-remaining-start-10am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1151,15-mins-accident-1-capacity-remaining-start-10am,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
