arrival,departure,session_id,station_id,requested_energy,estimated_departure,battery_capacity,battery_current_charge,battery_init_charge,battery_max_power,battery_current_charging_power,energy_delivered
62,158,543404941790,AB-1,30.0,158,60,30.000001267849665,30.0,16.6,1.690466240221053e-06,1.2678496801657897e-06
64,160,278369385093,AB-2,30.0,160,60,30.000000950867843,30.0,16.6,1.630059176238644e-06,9.508678528058753e-07
64,160,424517590749,AB-3,30.0,160,60,30.000000950867843,30.0,16.6,1.6300591761511598e-06,9.508678527548431e-07
66,162,844776132319,AB-4,30.0,162,60,30.000000637327595,30.0,16.6,1.5295862493395062e-06,6.373276038914608e-07
66,162,4718856190,AB-5,30.0,162,60,30.000000637327595,30.0,16.6,1.5295862493395062e-06,6.373276038914608e-07
67,163,121569120783,AB-6,30.0,163,60,30.000000491489146,30.0,16.6,1.474467443684756e-06,4.914891478949187e-07
67,163,670749084726,AB-7,30.0,163,60,30.000000491489146,30.0,16.6,1.4744674435972717e-06,4.914891478657572e-07
68,164,825852755105,AB-8,30.0,164,60,30.00000035487147,30.0,16.6,1.4194858875402474e-06,3.5487147188506186e-07
68,164,136706589684,AB-9,30.0,164,60,30.00000035487147,30.0,16.6,1.4194858873215363e-06,3.548714718303841e-07
69,165,575093329427,AB-10,30.0,165,60,30.000000227677845,30.0,16.6,1.366067081259637e-06,2.2767784687660616e-07
69,165,891321954312,AB-11,30.0,165,60,30.000000227677845,30.0,16.6,1.366067081215895e-06,2.2767784686931582e-07
69,165,209202122117,AB-12,30.0,165,60,30.000000227677845,30.0,16.6,1.366067081259637e-06,2.2767784687660616e-07
69,165,185328219550,AB-13,30.0,165,60,30.000000227677845,30.0,16.6,1.366067081215895e-06,2.2767784686931582e-07
70,166,108376890464,AB-14,30.0,166,60,30.000000109617574,30.0,16.6,1.3154108654651912e-06,1.0961757212209926e-07
70,166,219697492624,AB-15,30.0,166,60,30.000000109617574,30.0,16.6,1.3154108653339648e-06,1.0961757211116374e-07
